,Longitud,Latitud,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Media,Media Real,Diferencia
98,-177.25,-85.25,-17.7º,-26.7º,-37.9º,-42.5º,-43.7º,-43.5º,-47.0º,-47.3º,-46.4º,-37.7º,-26.6º,-17.8º,-36.3º,-36.2º,-0.1º
99,-177.25,-85.75,-22.7º,-32.3º,-43.9º,-48.1º,-49.1º,-49.1º,-52.3º,-52.5º,-51.7º,-43.1º,-31.8º,-22.7º,-41.7º,-41.6º,-0.1º
100,-177.25,-86.25,-24.9º,-35.1º,-47.1º,-51.1º,-51.8º,-52.0º,-54.7º,-55.0º,-54.3º,-45.7º,-34.3º,-24.8º,-44.3º,-44.2º,-0.1º
101,-177.25,-86.75,-26.7º,-37.5º,-49.9º,-53.7º,-54.3º,-54.7º,-56.9º,-57.1º,-56.6º,-48.1º,-36.4º,-26.6º,-46.6º,-46.5º,-0.1º
102,-177.25,-87.25,-27.6º,-38.9º,-51.6º,-55.3º,-55.7º,-56.1º,-58.2º,-58.3º,-57.9º,-49.4º,-37.6º,-27.6º,-47.9º,-47.8º,-0.1º
103,-177.25,-87.75,-28.4º,-40.1º,-53.0º,-56.5º,-56.9º,-57.4º,-59.2º,-59.3º,-58.9º,-50.5º,-38.5º,-28.4º,-49.0º,-48.9º,-0.1º
104,-177.25,-88.25,-29.1º,-41.1º,-54.3º,-57.7º,-58.0º,-58.6º,-60.2º,-60.2º,-60.0º,-51.5º,-39.3º,-29.1º,-50.0º,-49.9º,-0.1º
105,-177.25,-88.75,-29.1º,-41.2º,-54.5º,-58.0º,-58.2º,-58.7º,-60.2º,-60.2º,-60.1º,-51.6º,-39.4º,-29.0º,-50.1º,-50.0º,-0.1º
106,-177.25,-89.25,-28.4º,-40.8º,-54.2º,-57.6º,-57.7º,-58.3º,-59.7º,-59.7º,-59.6º,-51.1º,-38.8º,-28.4º,-49.6º,-49.5º,-0.1º
107,-177.25,-89.75,-27.7º,-40.2º,-53.6º,-57.0º,-57.2º,-57.7º,-59.1º,-59.1º,-59.0º,-50.5º,-38.1º,-27.7º,-49.0º,-48.9º,-0.1º
108,-176.75,67.75,-22.3º,-23.3º,-18.5º,-16.6º,-6.8º,2.8º,6.0º,5.0º,2.3º,-5.1º,-12.1º,-20.5º,-9.0º,-9.1º,0.1º
109,-176.75,67.25,-22.4º,-23.0º,-17.3º,-16.9º,-7.5º,2.5º,5.7º,4.7º,2.4º,-4.8º,-11.6º,-20.4º,-9.1º,-9.0º,-0.1º
110,-176.75,66.75,-22.5º,-22.6º,-16.9º,-16.7º,-8.0º,1.9º,5.3º,4.7º,2.0º,-4.8º,-11.8º,-20.2º,-9.1º,-9.1º,0.0º
111,-176.75,66.25,-21.7º,-21.6º,-17.2º,-15.8º,-7.4º,2.1º,5.7º,5.1º,2.0º,-4.6º,-11.6º,-19.3º,-8.6º,-8.7º,0.1º
112,-176.75,65.75,-20.1º,-20.1º,-17.6º,-14.0º,-6.0º,2.4º,6.3º,5.8º,2.0º,-4.4º,-11.2º,-17.9º,-7.7º,-7.9º,0.2º
113,-176.75,51.75,-0.9º,-1.1º,0.1º,1.4º,3.4º,5.6º,8.0º,9.1º,7.4º,4.5º,1.6º,-0.1º,3.2º,3.2º,0.0º
114,-176.75,-84.75,-12.6º,-21.0º,-32.0º,-36.7º,-38.0º,-37.9º,-41.7º,-41.9º,-40.9º,-32.1º,-21.3º,-12.6º,-30.7º,-30.7º,0.0º
115,-176.75,-85.25,-17.0º,-25.9º,-37.2º,-41.7º,-43.0º,-42.8º,-46.3º,-46.5º,-45.6º,-37.0º,-25.9º,-17.1º,-35.5º,-35.5º,0.0º
116,-176.75,-85.75,-23.0º,-32.5º,-44.1º,-48.3º,-49.3º,-49.3º,-52.5º,-52.7º,-51.9º,-43.3º,-32.0º,-22.9º,-41.9º,-41.8º,-0.1º
117,-176.75,-86.25,-24.8º,-34.9º,-46.9º,-51.0º,-51.7º,-51.9º,-54.5º,-54.8º,-54.2º,-45.6º,-34.2º,-24.7º,-44.2º,-44.1º,-0.1º
118,-176.75,-86.75,-26.6º,-37.5º,-49.8º,-53.6º,-54.3º,-54.6º,-56.9º,-57.0º,-56.6º,-48.0º,-36.4º,-26.5º,-46.6º,-46.5º,-0.1º
119,-176.75,-87.25,-27.6º,-38.9º,-51.6º,-55.2º,-55.6º,-56.0º,-58.1º,-58.2º,-57.8º,-49.3º,-37.5º,-27.6º,-47.9º,-47.8º,-0.1º
120,-176.75,-87.75,-28.4º,-40.0º,-53.0º,-56.5º,-56.9º,-57.3º,-59.2º,-59.3º,-58.9º,-50.5º,-38.5º,-28.4º,-49.0º,-48.9º,-0.1º
121,-176.75,-88.25,-29.1º,-41.1º,-54.3º,-57.7º,-58.0º,-58.5º,-60.2º,-60.2º,-60.1º,-51.5º,-39.3º,-29.1º,-50.0º,-49.9º,-0.1º
122,-176.75,-88.75,-29.1º,-41.2º,-54.5º,-58.0º,-58.2º,-58.7º,-60.2º,-60.2º,-60.1º,-51.6º,-39.4º,-28.9º,-50.1º,-50.0º,-0.1º
123,-176.75,-89.25,-28.4º,-40.8º,-54.1º,-57.6º,-57.7º,-58.3º,-59.7º,-59.7º,-59.6º,-51.1º,-38.8º,-28.4º,-49.6º,-49.5º,-0.1º
124,-176.75,-89.75,-27.7º,-40.2º,-53.6º,-57.0º,-57.2º,-57.7º,-59.1º,-59.1º,-59.0º,-50.5º,-38.1º,-27.7º,-49.0º,-48.9º,-0.1º
125,-176.25,67.75,-22.4º,-23.5º,-18.0º,-17.1º,-7.2º,2.6º,5.7º,4.7º,2.3º,-5.1º,-12.0º,-20.7º,-9.2º,-9.2º,0.0º
126,-176.25,67.25,-22.5º,-23.2º,-16.7º,-17.4º,-7.9º,2.4º,5.5º,4.5º,2.5º,-4.8º,-11.5º,-20.6º,-9.2º,-9.1º,-0.1º
127,-176.25,66.75,-22.5º,-22.9º,-15.9º,-17.1º,-8.2º,2.1º,5.4º,4.5º,2.4º,-4.6º,-11.4º,-20.4º,-10.0º,-9.0º,-1.0º
128,-176.25,66.25,-22.7º,-22.9º,-17.0º,-17.2º,-8.6º,1.4º,4.7º,4.0º,1.6º,-5.3º,-12.1º,-20.5º,-9.5º,-9.5º,0.0º
129,-176.25,65.75,-19.3º,-19.8º,-16.2º,-13.7º,-5.4º,3.0º,6.6º,6.0º,2.9º,-3.5º,-10.2º,-17.3º,-7.1º,-7.2º,0.1º
130,-176.25,-43.75,15.0º,15.6º,14.6º,12.8º,11.1º,9.2º,8.5º,8.9º,9.5º,10.7º,12.2º,13.7º,11.8º,11.8º,0.0º
